fdc_id,g_per_ml,source_portion
2706199,0.5833,1 cup
2706200,0.575,"1 cup, NFS"
2706201,0.575,"1 cup, NFS"
2706202,0.575,"1 cup, NFS"
2706203,0.6292,1 cup
2706205,0.5833,"1 cup, pieces"
2706206,0.5833,"1 cup, pieces"
2706207,0.5833,"1 cup, pieces"
2706208,0.5833,"1 cup, pieces"
2706209,0.5833,"1 cup, pieces"
2706210,0.5833,"1 cup, pieces"
2706211,0.5833,"1 cup, pieces"
2706212,0.5833,"1 cup, pieces"
2706213,0.8875,"1 cup, solid pack"
2706214,0.5833,"1 cup, pieces"
2706215,0.5833,"1 cup, pieces"
2706216,0.5833,"1 cup, pieces"
2706217,0.5833,1 cup
2706218,0.5833,"1 cup, pieces"
2706219,0.5833,"1 cup, pieces"
2706220,0.9375,1 cup
2706221,0.8667,1 cup
2706222,1.0542,1 cup
2706223,0.5625,1 cup
2706224,0.5625,1 cup
2706225,0.5625,1 cup
2706226,0.5625,1 cup
2706227,0.5625,1 cup
2706228,0.5625,1 cup
2706229,0.5625,1 cup
2706230,0.5625,1 cup
2706233,0.5625,1 cup
2706234,0.5625,1 cup
2706235,0.5625,1 cup
2706236,0.5625,1 cup
2706237,0.5625,1 cup
2706238,0.5625,1 cup
2706239,0.5625,1 cup
2706240,0.5625,1 cup
2706241,0.5625,1 cup
2706242,0.5625,1 cup
2706243,0.5625,1 cup
2706244,0.5625,1 cup
2706245,0.5625,1 cup
2706246,0.5625,1 cup
2706247,0.5625,1 cup
2706248,0.5625,1 cup
2706249,0.5625,1 cup
2706250,0.5625,1 cup
2706251,0.5625,1 cup
2706252,0.5625,1 cup
2706253,0.5625,1 cup
2706254,0.5625,1 cup
2706255,0.5625,1 cup
2706256,0.5625,1 cup
2706257,0.5625,1 cup
2706258,0.5625,1 cup
2706259,0.5625,1 cup
2706260,0.5625,1 cup
2706261,0.5625,1 cup
2706262,0.5625,1 cup
2706263,0.5625,1 cup
2706264,0.5625,1 cup
2706265,0.5625,1 cup
2706266,0.5625,1 cup
2706267,0.5625,1 cup
2706268,0.5625,1 cup
2706269,0.5625,1 cup
2706270,0.5625,1 cup
2706271,0.5625,1 cup
2706272,0.5625,1 cup
2706273,0.5625,1 cup
2706274,0.5625,1 cup
2706275,0.5625,1 cup
2706276,0.5625,1 cup
2706277,0.5625,1 cup
2706278,0.5625,1 cup
2706279,0.5625,1 cup
2706280,0.5625,1 cup
2706281,0.5625,1 cup
2706282,0.5625,1 cup
2706283,0.5625,1 cup
2706284,0.5625,1 cup
2706285,0.5625,1 cup
2706286,0.5625,1 cup
2706287,0.5625,1 cup
2706288,0.5625,1 cup
2706289,0.5625,1 cup
2706290,0.5625,1 cup
2706291,0.5625,1 cup
2706292,0.5625,1 cup
2706293,1.0374,1 cubic inch
2706294,0.5625,1 cup
2706295,0.5625,1 cup
2706296,0.5625,1 cup
2706297,0.5625,1 cup
2706298,0.5625,1 cup
2706299,0.5625,1 cup
2706300,0.5625,1 cup
2706301,0.5625,1 cup
2706302,0.5625,1 cup
2706303,0.5625,1 cup
