recipe_id,ingredient_id,ingredient_index,portion_factor,actual_measure,measure_only
131,537,11,1,,
131,66,12,1,,1 tablespoon
132,397,1,1,,3 tablespoon
132,399,2,1,,4 large
132,87,3,1,,
132,179,4,1,,
132,251,5,1,,
132,474,6,1,,1 teaspoon
132,604,7,1,,
132,261,8,1,,
132,62,9,1,,1/8 teaspoon
132,230,10,1,,
132,518,11,1,,2 tablespoon
132,161,12,1,,2 teaspoon
132,72,13,1,,
132,546,14,1,,
132,125,15,1,,2 tablespoon
132,606,16,1,,
132,241,17,1,,5 large
132,226,18,1,,
132,338,19,1,,
132,244,20,1,,
132,305,21,1,,
132,522,22,1,,
133,399,1,1,,
133,251,2,1,,
133,260,3,1,,
133,205,4,1,,2 tablespoon
133,504,5,1,,2 tablespoon
133,335,6,1,,
133,534,7,1,,
133,527,8,1,,
133,146,9,1,,
134,60,1,1,,
134,399,2,1,,
134,213,3,1,,
134,639,4,1,,
134,617,5,1,,
134,612,6,1,,
134,243,7,1,,
135,522,1,1,,
135,182,2,1,,1 teaspoon
135,224,3,1,,1 teaspoon
135,571,4,1,,
135,574,5,1,,1 tablespoon
135,443,6,1,,
136,261,1,1,,
136,252,2,1,,
136,155,3,1,,
136,591,4,1,,
136,160,5,1,,
136,389,6,1,,
136,180,7,1,,
136,522,8,1,,1 tablespoon
136,62,9,1,,1 tablespoon
137,615,1,1,,3 tablespoon
137,93,2,1,,
137,251,3,1,,
137,536,4,1,,
137,600,5,1,,4 tablespoon
137,15,6,1,,1 tablespoon
137,437,7,1,,
137,613,8,1,such as Maggi stock cubes,
137,36,9,1,,
137,34,10,1,,
137,432,11,1,,
137,529,12,1,,
138,548,1,1,approximately 1kg/2lb 4oz,
140,503,1,1,,
140,93,2,1,,
140,251,3,1,,
140,163,4,1,,
140,257,5,1,,
141,579,1,1,,1 tablespoon
141,300,2,1,,1 tablespoon
141,252,3,1,,2 teaspoon
141,401,4,1,,2 teaspoon
141,403,5,1,,1 teaspoon
141,237,6,1,,2 teaspoon
141,180,7,1,,2 teaspoon
141,125,8,1,,1 teaspoon
141,292,9,1,optional,
142,236,1,1,,
142,497,2,1,,
142,251,3,1,,
142,590,4,1,,
142,229,5,1,,
142,21,6,1,,
142,644,7,1,,2 tablespoon
142,645,8,1,,2 tablespoon
142,235,9,1,,
142,230,10,1,,
142,155,11,1,,
142,411,12,1,,1 teaspoon
142,524,13,1,,
143,540,1,1,,
143,116,2,1,,1 teaspoon
143,522,3,1,,
143,246,4,1,,
143,232,5,1,,
143,433,6,1,,
143,204,7,1,optional,
144,261,1,1,,2 tablespoon
144,160,2,1,,1 tablespoon
144,389,3,1,,1 tablespoon
144,127,4,1,,1 tablespoon
145,48,1,1,,
145,330,2,1,,
145,446,3,1,,
145,182,4,1,,2 tablespoon
145,16,5,1,,1 teaspoon
145,389,6,1,,
145,350,8,1,,2 tablespoon
145,545,9,1,approx. 320g/11??oz each,
145,156,10,1,,
145,242,11,1,,
145,524,12,1,,
146,411,1,1,,
146,127,2,1,,
146,262,3,1,,
146,253,4,1,,
146,62,5,1,,
146,401,6,1,,
146,604,7,1,,
146,219,8,1,,
146,605,9,1,also known as selim pepper ,
147,582,1,1,,
147,397,2,1,,3 tablespoon
147,355,3,1,,
147,251,4,1,,
147,200,5,1,,1 teaspoon
147,334,6,1,,1 tablespoon
147,241,7,1,,8 medium
147,181,8,1,,2 tablespoon
